zone_id,ticker,valid_from,valid_to,zone_class,side,lower,upper,center,timeframe,source_reason,confluence_count,metadata
AAPL::20260319::resistance::1,AAPL,2026-03-19,2026-03-25 23:59:59.999999,composite,resistance,253.37185009002684,258.7578177960714,256.0648339430491,D,"avwap_D,vp_D",2,"{'institutional_score': 73.66000959064895, 'structural_score': 67.24000959064895, 'touch_count': 4, 'reaction_score': 3.21, 'source_label': 'avwap_D, vp_D', 'source_types': ['avwap_D', 'vp_D'], 'timeframes': ['D']}"
AAPL::20260319::resistance::2,AAPL,2026-03-19,2026-03-25 23:59:59.999999,composite,resistance,258.32518871307377,266.2664810053507,262.2958348592123,"D,W","avwap_D,vp_D,vp_W",3,"{'institutional_score': 64.30354979348641, 'structural_score': 57.463549793486415, 'touch_count': 6, 'reaction_score': 3.4200000000000004, 'source_label': 'avwap_D, vp_D, vp_W', 'source_types': ['avwap_D', 'vp_D', 'vp_W'], 'timeframes': ['D', 'W']}"
AAPL::20260319::resistance::3,AAPL,2026-03-19,2026-03-25 23:59:59.999999,composite,resistance,270.23228420893355,276.962980149587,273.59763217926024,"D,W","vp_D,vp_W",2,"{'institutional_score': 34.026582788539876, 'structural_score': 26.946582788539875, 'touch_count': 5, 'reaction_score': 3.5400000000000005, 'source_label': 'vp_D, vp_W', 'source_types': ['vp_D', 'vp_W'], 'timeframes': ['D', 'W']}"
AAPL::20260326::resistance::1,AAPL,2026-03-26,2026-04-01 23:59:59.999999,composite,resistance,249.7318746693929,266.2232238674164,257.97754926840463,"D,W","avwap_D,vp_D,vp_W",3,"{'institutional_score': 105.64663506597402, 'structural_score': 99.28663506597402, 'touch_count': 8, 'reaction_score': 3.1800000000000006, 'source_label': 'avwap_D, vp_D, vp_W', 'source_types': ['avwap_D', 'vp_D', 'vp_W'], 'timeframes': ['D', 'W']}"
AAPL::20260326::resistance::2,AAPL,2026-03-26,2026-04-01 23:59:59.999999,inventory,resistance,270.8143173154195,276.45985514958704,273.6370862325033,W,vp_W,1,"{'institutional_score': 33.00422485977627, 'structural_score': 25.924224859776274, 'touch_count': 5, 'reaction_score': 3.5400000000000005, 'source_label': 'VP (W, 1d higher-timeframe composite)', 'source_types': ['vp_W'], 'timeframes': ['W']}"
AAPL::20260326::support::3,AAPL,2026-03-26,2026-04-01 23:59:59.999999,composite,support,246.64089648564658,253.81639880711435,250.22864764638047,D,"avwap_D,vp_D",2,"{'institutional_score': 169.22945189852035, 'structural_score': 161.66945189852035, 'touch_count': 3, 'reaction_score': 3.7800000000000002, 'source_label': 'avwap_D, vp_D', 'source_types': ['avwap_D', 'vp_D'], 'timeframes': ['D']}"
AAPL::20260402::resistance::1,AAPL,2026-04-02,,composite,resistance,257.2214737407602,265.6001903581619,261.4108320494611,"D,W","avwap_D,vp_W",2,"{'institutional_score': 90.14230788559996, 'structural_score': 83.54230788559997, 'touch_count': 7, 'reaction_score': 3.3000000000000003, 'source_label': 'avwap_D, vp_W', 'source_types': ['avwap_D', 'vp_W'], 'timeframes': ['D', 'W']}"
AAPL::20260402::support::2,AAPL,2026-04-02,,inventory,support,247.0957550787926,249.93444810469944,248.51510159174603,D,vp_D,1,"{'institutional_score': 64.49951647786236, 'structural_score': 56.939516477862355, 'touch_count': 3, 'reaction_score': 3.7800000000000002, 'source_label': 'VP (D, 1h composite)', 'source_types': ['vp_D'], 'timeframes': ['D']}"
AAPL::20260402::support::3,AAPL,2026-04-02,,composite,support,250.02105152289073,257.0318039552371,253.5264277390639,"D,W","avwap_D,vp_D,vp_W",3,"{'institutional_score': 188.4194880356563, 'structural_score': 181.33948803565627, 'touch_count': 5, 'reaction_score': 3.5400000000000005, 'source_label': 'avwap_D, vp_D, vp_W', 'source_types': ['avwap_D', 'vp_D', 'vp_W'], 'timeframes': ['D', 'W']}"
MSFT::20260319::resistance::1,MSFT,2026-03-19,2026-03-25 23:59:59.999999,composite,resistance,393.6952606519063,411.8048577817281,402.75005921681725,"D,W","avwap_D,vp_D,vp_W",3,"{'institutional_score': 97.54338785162949, 'structural_score': 91.42338785162949, 'touch_count': 9, 'reaction_score': 3.0600000000000005, 'source_label': 'avwap_D, vp_D, vp_W', 'source_types': ['avwap_D', 'vp_D', 'vp_W'], 'timeframes': ['D', 'W']}"
