event_id,ticker,zone_id,event_timestamp,event_type,direction,price_at_event,boundary_price,close_distance_pct,bar_index,is_first_test,prior_test_count,zone_class,zone_side,zone_timeframe,zone_width_pct,confluence_count,metadata_json,label,success_flag,failure_flag,unresolved_flag,max_favorable_excursion,max_adverse_excursion,follow_through_pct,reentry_flag,bars_to_reentry,bars_to_target,outcome_window_end
AAPL::20250521::support::5::probe::2025-05-21T00:00:00,AAPL,AAPL::20250521::support::5,2025-05-21,probe,down,202.08999633789062,203.48158873529408,-0.006838910616202024,0,True,0,cost,support,D,0.01000000000000002,1,"{""source_reason"": ""avwap_D"", ""trigger_rule"": ""probe"", ""zone_valid_from"": ""2025-05-21T00:00:00"", ""zone_valid_to"": ""2025-05-28T23:59:59.999999""}",not_applicable,0,0,0,,,,0,,,
AAPL::20250521::support::5::breakout_down::2025-05-22T00:00:00,AAPL,AAPL::20250521::support::5,2025-05-22,breakout_down,down,201.36000061035156,203.48158873529408,-0.010426437783039227,1,False,1,cost,support,D,0.01000000000000002,1,"{""source_reason"": ""avwap_D"", ""trigger_rule"": ""breakout_down"", ""zone_valid_from"": ""2025-05-21T00:00:00"", ""zone_valid_to"": ""2025-05-28T23:59:59.999999""}",failure,0,1,0,-0.08949147903178224,0.22829758185022517,-0.15613827148444087,1,1.0,,2025-02-04
AAPL::20250521::support::4::probe::2025-05-23T00:00:00,AAPL,AAPL::20250521::support::4,2025-05-23,probe,down,195.27000427246094,195.61049680709837,-0.0017406659672932145,2,True,0,composite,support,D,0.03503987251109963,2,"{""source_reason"": ""avwap_D,vp_D"", ""trigger_rule"": ""probe"", ""zone_valid_from"": ""2025-05-21T00:00:00"", ""zone_valid_to"": ""2025-05-28T23:59:59.999999""}",not_applicable,0,0,0,,,,0,,,
AAPL::20250521::support::5::probe::2025-05-28T00:00:00,AAPL,AAPL::20250521::support::5,2025-05-28,probe,down,200.4199981689453,203.48158873529408,-0.01504603234807422,4,False,2,cost,support,D,0.01000000000000002,1,"{""source_reason"": ""avwap_D"", ""trigger_rule"": ""probe"", ""zone_valid_from"": ""2025-05-21T00:00:00"", ""zone_valid_to"": ""2025-05-28T23:59:59.999999""}",not_applicable,0,0,0,,,,0,,,
AAPL::20250529::resistance::1::test::2025-05-29T00:00:00,AAPL,AAPL::20250529::resistance::1,2025-05-29,test,up,199.9499969482422,202.3295777435971,-0.011760914157446836,0,True,0,cost,resistance,D,0.010000000000000014,1,"{""source_reason"": ""avwap_D"", ""trigger_rule"": ""test"", ""zone_valid_from"": ""2025-05-29T00:00:00"", ""zone_valid_to"": ""2025-06-04T23:59:59.999999""}",not_applicable,0,0,0,,,,0,,,
AAPL::20250529::resistance::1::probe::2025-06-03T00:00:00,AAPL,AAPL::20250529::resistance::1,2025-06-03,probe,up,203.27000427246094,202.3295777435971,0.004647993335188973,3,False,1,cost,resistance,D,0.010000000000000014,1,"{""source_reason"": ""avwap_D"", ""trigger_rule"": ""probe"", ""zone_valid_from"": ""2025-05-29T00:00:00"", ""zone_valid_to"": ""2025-06-04T23:59:59.999999""}",not_applicable,0,0,0,,,,0,,,
AAPL::20250529::resistance::1::breakout_up::2025-06-04T00:00:00,AAPL,AAPL::20250529::resistance::1,2025-06-04,breakout_up,up,202.82000732421875,202.3295777435971,0.0024239144177088615,4,False,2,cost,resistance,D,0.010000000000000014,1,"{""source_reason"": ""avwap_D"", ""trigger_rule"": ""breakout_up"", ""zone_valid_from"": ""2025-05-29T00:00:00"", ""zone_valid_to"": ""2025-06-04T23:59:59.999999""}",success,1,0,0,0.2187653757760676,-0.08164873760270454,0.12232519802118746,0,,1.0,2025-02-07
AAPL::20250627::resistance::1::probe::2025-06-30T00:00:00,AAPL,AAPL::20250627::resistance::1,2025-06-30,probe,up,205.1699981689453,203.53348603441412,0.008040505601395147,1,True,0,cost,resistance,D,0.017096473452467974,1,"{""source_reason"": ""avwap_D"", ""trigger_rule"": ""probe"", ""zone_valid_from"": ""2025-06-27T00:00:00"", ""zone_valid_to"": ""2025-07-06T23:59:59.999999""}",not_applicable,0,0,0,,,,0,,,
AAPL::20250627::resistance::1::breakout_up::2025-07-01T00:00:00,AAPL,AAPL::20250627::resistance::1,2025-07-01,breakout_up,up,207.82000732421875,203.53348603441412,0.02106052116200597,2,False,1,cost,resistance,D,0.017096473452467974,1,"{""source_reason"": ""avwap_D"", ""trigger_rule"": ""breakout_up"", ""zone_valid_from"": ""2025-06-27T00:00:00"", ""zone_valid_to"": ""2025-07-06T23:59:59.999999""}",success,1,0,0,0.18944275685529452,-0.05562504644011039,0.11861222706064131,0,,1.0,2025-02-05
AAPL::20250804::resistance::1::probe::2025-08-07T00:00:00,AAPL,AAPL::20250804::resistance::1,2025-08-07,probe,up,220.02999877929688,217.36869656562803,0.01224326343082867,3,True,0,composite,resistance,"D,W",0.10793260464090193,4,"{""source_reason"": ""avwap_D,avwap_W,vp_D,vp_W"", ""trigger_rule"": ""probe"", ""zone_valid_from"": ""2025-08-04T00:00:00"", ""zone_valid_to"": ""2025-08-10T23:59:59.999999""}",not_applicable,0,0,0,,,,0,,,
